question_id,question_type,stem,option_a,option_b,option_c,option_d,option_e,option_f,correct_answer,correct_answer_text,explanation,explanation_clean,detailed_explanation,topic
301,MCQ,"60-year-old woman with obesity, CKD, prior gastrectomy, knee replacement, and claustrophobia. Which is a relative contraindication to technetium-99m myocardial perfusion scintigraphy?",Obesity,Claustrophobia,Metal implants,Renal dysfunction,Gastrectomy,,E,E — Gastrectomy,Prior gastrectomy can reduce uptake and biodistribution of technetium-99m and reduce test sensitivity.,Prior gastrectomy can reduce uptake and biodistribution of technetium-99m and reduce test sensitivity.,"Correct answer: E — Gastrectomy. Prior gastrectomy can reduce uptake and biodistribution of technetium-99m and reduce test sensitivity. In nuclear cardiology questions, look for the factor that most directly changes tracer handling, image quality, or test interpretation. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Nuclear cardiology
302,MCQ,"ESRD patient undergoing coronary angiography has dense circumferential calcification and a moderate left-main lesion. Histologically, what most likely predominates in this stenosis?",Vascular smooth muscle cells,Fibroblasts,Macrophages,T cells,Sertoli cells,,A,A — Vascular smooth muscle cells,Medial calcification in ESRD is driven largely by vascular smooth muscle cell osteogenic transformation.,Medial calcification in ESRD is driven largely by vascular smooth muscle cell osteogenic transformation.,"Correct answer: A — Vascular smooth muscle cells. Medial calcification in ESRD is driven largely by vascular smooth muscle cell osteogenic transformation. In pathology questions, focus on the hallmark histology and the time course described rather than on nonspecific distractors. Exam tip: for mechanism or pathology questions, anchor your choice to the defining morphologic or molecular hallmark.",Pathology
303,MCQ,Commotio cordis after blunt chest trauma most directly impacts which cardiac chamber?,Left ventricle,Left atrium,Right ventricle,Right atrium,Aorta,,C,C — Right ventricle,The right ventricle lies most anteriorly behind the sternum and is most directly struck in blunt precordial trauma.,The right ventricle lies most anteriorly behind the sternum and is most directly struck in blunt precordial trauma.,"Correct answer: C — Right ventricle. The right ventricle lies most anteriorly behind the sternum and is most directly struck in blunt precordial trauma. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Trauma
304,MCQ,Acute chest pain with T-wave inversion in V1 and V2 is most likely associated with occlusion of which artery?,Right coronary artery,Left circumflex artery,Proximal LAD artery,Distal LAD artery,,,C,C — Proximal LAD artery,Septal T-wave inversion in V1–V2 localizes to septal branches of the proximal LAD.,Septal T-wave inversion in V1–V2 localizes to septal branches of the proximal LAD.,"Correct answer: C — Proximal LAD artery. Septal T-wave inversion in V1–V2 localizes to septal branches of the proximal LAD. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",ECG/Ischemia
305,MCQ,"Hypertensive patient on multiple medications develops hypokalemia, hypercalcemia, hyperuricemia, and hyperglycemia. Which drug is most likely responsible?",Alpha-methyldopa,Hydrochlorothiazide,Furosemide,Spironolactone,,,B,B — Hydrochlorothiazide,Hydrochlorothiazide causes the full metabolic pattern described.,Hydrochlorothiazide causes the full metabolic pattern described.,"Correct answer: B — Hydrochlorothiazide. Hydrochlorothiazide causes the full metabolic pattern described. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Pharmacology
306,MCQ,"Patient with severe emphysema and recent MI has exertional dyspnea, S3, basal rales, and holosystolic apical murmur without edema. Most likely diagnosis?",Right-sided heart failure,Pulmonary embolism,Left-sided heart failure,Cor pulmonale,,,C,C — Left-sided heart failure,"S3, pulmonary congestion, and apical holosystolic murmur point to left-sided heart failure.","S3, pulmonary congestion, and apical holosystolic murmur point to left-sided heart failure.","Correct answer: C — Left-sided heart failure. S3, pulmonary congestion, and apical holosystolic murmur point to left-sided heart failure. Exam tip: for diagnosis questions, identify the single option that explains the entire clinical pattern rather than only one isolated clue.",Heart failure
307,MCQ,"Patient with systolic heart failure is taking lisinopril, hydralazine, and furosemide. Which additional drug best reduces symptoms and long-term mortality?",Carvedilol,Nitroglycerin,Amlodipine,Verapamil,Digoxin,,A,A — Carvedilol,Beta-blockers such as carvedilol improve symptoms and survival in HFrEF.,Beta-blockers such as carvedilol improve symptoms and survival in HFrEF.,"Correct answer: A — Carvedilol. Beta-blockers such as carvedilol improve symptoms and survival in HFrEF. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Heart failure
308,MCQ,Small yellow clustered papules on elbows and buttocks are most strongly associated with elevation in which lab?,LDL cholesterol,HDL cholesterol,Triglycerides,Total cholesterol,,,C,C — Triglycerides,Eruptive xanthomas are classically linked to severe hypertriglyceridemia.,Eruptive xanthomas are classically linked to severe hypertriglyceridemia.,"Correct answer: C — Triglycerides. Eruptive xanthomas are classically linked to severe hypertriglyceridemia. In lipid questions, link the biochemical abnormality to the lipoprotein pathway and the classic clinical or laboratory pattern. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Lipid disorders
309,MCQ,"QT interval of 490 ms with recurrent palpitations and syncope, including during sleep. What does this suggest?",Brugada syndrome,Wolff-Parkinson-White syndrome,Long QT syndrome,Atrial fibrillation,,,C,C — Long QT syndrome,QT prolongation with syncope suggests long QT syndrome and risk of torsades de pointes.,QT prolongation with syncope suggests long QT syndrome and risk of torsades de pointes.,"Correct answer: C — Long QT syndrome. QT prolongation with syncope suggests long QT syndrome and risk of torsades de pointes. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Arrhythmia
310,MCQ,Systemic sclerosis patient has a parasternal short-axis D-shaped LV during systole with D2/D1 ratio 1.3. What is the most likely interpretation?,Normal LV geometry,Right ventricular volume overload,Right ventricular pressure overload,Left ventricular systolic dysfunction,,,C,C — Right ventricular pressure overload,A systolic D-sign indicates RV pressure overload; RV volume overload causes septal flattening mainly in diastole.,A systolic D-sign indicates RV pressure overload; RV volume overload causes septal flattening mainly in diastole.,"Correct answer: C — Right ventricular pressure overload. A systolic D-sign indicates RV pressure overload; RV volume overload causes septal flattening mainly in diastole. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Echo/RV
311,MCQ,Nephrotic-range proteinuria with Congo-red-positive biopsy and apple-green birefringence under polarized light indicates:,Gaucher disease,Amyloidosis,Hunter syndrome,Hypereosinophilic syndrome,,,B,B — Amyloidosis,Apple-green birefringence with Congo red is pathognomonic for amyloid deposition.,Apple-green birefringence with Congo red is pathognomonic for amyloid deposition.,"Correct answer: B — Amyloidosis. Apple-green birefringence with Congo red is pathognomonic for amyloid deposition. In pathology questions, focus on the hallmark histology and the time course described rather than on nonspecific distractors. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Pathology
312,MCQ,Acute decompensated heart failure with low output and poor perfusion. Which drug directly enhances contractility in the acute setting?,Milrinone,Metoprolol,Furosemide,Lisinopril,,,A,A — Milrinone,Milrinone is a PDE-3 inhibitor that acutely increases inotropy and reduces afterload.,Milrinone is a PDE-3 inhibitor that acutely increases inotropy and reduces afterload.,"Correct answer: A — Milrinone. Milrinone is a PDE-3 inhibitor that acutely increases inotropy and reduces afterload. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Heart failure
313,MCQ,"For CT coronary angiography, which factor is NOT associated with challenging scan acquisition?",High body mass index,Cardiac arrhythmia,Symptomatic respiratory disease,Metallic implants,Low R-R variability,,E,E — Low R-R variability,Low R-R variability actually favors good image acquisition.,Low R-R variability actually favors good image acquisition.,"Correct answer: E — Low R-R variability. Low R-R variability actually favors good image acquisition. Exam tip: when asked about investigation, select the test that most directly confirms the suspected diagnosis or answers the exact question being asked.",CT imaging
314,MCQ,"CKD patient with thrombocytopenia, large pericardial effusion, and heterogeneous pericardial mass with irregular borders. Best modality for tissue characterization?",Cardiac CT,CMR,TEE,Nuclear test,,,B,B — CMR,Cardiac MRI provides the best tissue characterization of pericardial and cardiac masses.,Cardiac MRI provides the best tissue characterization of pericardial and cardiac masses.,"Correct answer: B — CMR. Cardiac MRI provides the best tissue characterization of pericardial and cardiac masses. Exam tip: for mechanism or pathology questions, anchor your choice to the defining morphologic or molecular hallmark.",CMR
315,MCQ,Which is an absolute contraindication to CMR at 1.5 Tesla?,Bioprosthetic AVR <6 weeks ago,Drug-eluting stent in LAD <24 hours ago,Implantable loop recorder in situ,Intra-ocular metallic foreign body,Legacy dual-chamber pacemaker,,D,D — Intra-ocular metallic foreign body,Intra-ocular metallic foreign bodies are an absolute MRI contraindication because of movement and thermal risk.,Intra-ocular metallic foreign bodies are an absolute MRI contraindication because of movement and thermal risk.,"Correct answer: D — Intra-ocular metallic foreign body. Intra-ocular metallic foreign bodies are an absolute MRI contraindication because of movement and thermal risk. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",CMR
316,MCQ,"65-year-old with heart failure has nausea, confusion, and yellow-green halos around lights. Most likely cause?",Amiodarone toxicity,Digoxin toxicity,Ethambutol toxicity,Sildenafil side effect,,,B,B — Digoxin toxicity,Xanthopsia with GI and CNS symptoms is classic for digoxin toxicity.,Xanthopsia with GI and CNS symptoms is classic for digoxin toxicity.,"Correct answer: B — Digoxin toxicity. Xanthopsia with GI and CNS symptoms is classic for digoxin toxicity. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Pharmacology
317,MCQ,"PISA for MR: radius 0.7 cm, aliasing velocity 40 cm/s, peak MR velocity 300 cm/s. Approximate EROA?",0.18 cm²,0.31 cm²,0.41 cm²,0.51 cm²,,,C,C — 0.41 cm2,EROA = 2πr² × aliasing velocity / peak MR velocity ≈ 0.41 cm².,EROA = 2πr2 × aliasing velocity / peak MR velocity ≈ 0.41 cm2.,"Correct answer: C — 0.41 cm2. EROA = 2πr2 × aliasing velocity / peak MR velocity ≈ 0.41 cm2. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Echo/MR
318,MCQ,"Rheumatic mitral stenosis with LVOT diameter 2.2 cm, LVOT VTI 23 cm, and MV VTI 80 cm. What is the calculated mitral valve area?",1.2 cm²,1.1 cm²,1.0 cm²,0.9 cm²,Cannot be calculated from these parameters,,B,B — 1.1 cm2,Mitral valve area by continuity equation is about 1.09 cm².,Mitral valve area by continuity equation is about 1.09 cm2.,"Correct answer: B — 1.1 cm2. Mitral valve area by continuity equation is about 1.09 cm2. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Echo/Valves
319,MCQ,A 65-year-old man dies about 12 hours after STEMI. Which microscopic finding is most likely in the infarcted myocardium?,Necrotic myocardial fibers and wavy fibers,Dense collagenous scar,Granulation tissue with capillaries and fibroblasts,Diffuse chronic lymphocytic infiltrate,,,A,A — Necrotic myocardial fibers and wavy fibers,"At 6–24 hours after MI, coagulative necrosis with wavy fibers is expected.","At 6–24 hours after MI, coagulative necrosis with wavy fibers is expected.","Correct answer: A — Necrotic myocardial fibers and wavy fibers. At 6–24 hours after MI, coagulative necrosis with wavy fibers is expected. Exam tip: for mechanism or pathology questions, anchor your choice to the defining morphologic or molecular hallmark.",Pathology/MI
320,MCQ,Which molecular target explains drug-induced acquired long-QT syndrome?,SCN5A-encoded sodium channel,Voltage-gated sodium channel,Inhibition of KCNH2-encoded HERG potassium channel,Inhibition of calcium channel,,,C,C — Inhibition of KCNH2-encoded HERG potassium channel,Most drugs causing acquired QT prolongation block the HERG potassium channel.,Most drugs causing acquired QT prolongation block the HERG potassium channel.,"Correct answer: C — Inhibition of KCNH2-encoded HERG potassium channel. Most drugs causing acquired QT prolongation block the HERG potassium channel. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Arrhythmia
321,MCQ,Mid-to-late systolic murmur at the apex and aortic area preceded by a sharp systolic click. Most likely cause?,Posterior mitral leaflet prolapse,Anterior mitral leaflet prolapse,Valvular aortic stenosis,Subvalvular aortic membrane,,,A,A — Posterior mitral leaflet prolapse,Posterior leaflet prolapse can direct MR anteriorly toward the aortic area.,Posterior leaflet prolapse can direct MR anteriorly toward the aortic area.,"Correct answer: A — Posterior mitral leaflet prolapse. Posterior leaflet prolapse can direct MR anteriorly toward the aortic area. In valvular questions, timing of symptoms, prosthesis type, and echocardiographic morphology are major clues to the underlying valve complication. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Valvular
322,MCQ,Progressive fatigue and exertional dyspnea with Kussmaul sign and a sharp early-diastolic precordial sound. Most likely diagnosis?,Right ventricular infarct,Tricuspid stenosis,Constrictive pericarditis,Restrictive cardiomyopathy,,,C,C — Constrictive pericarditis,Kussmaul sign plus a pericardial knock is classic for constrictive pericarditis.,Kussmaul sign plus a pericardial knock is classic for constrictive pericarditis.,"Correct answer: C — Constrictive pericarditis. Kussmaul sign plus a pericardial knock is classic for constrictive pericarditis. Exam tip: for diagnosis questions, identify the single option that explains the entire clinical pattern rather than only one isolated clue.",Pericardial disease
323,MCQ,55-year-old with chest pain at rest has preexcitation on resting ECG. What should the next evaluation include?,Exercise stress test,Coronary angiogram,Referral to an electrophysiologist,Exercise myocardial perfusion imaging,,,D,D — Exercise myocardial perfusion imaging,Routine exercise ECG alone is not appropriate with preexcitation; imaging-based ischemia testing is preferred in this item.,Routine exercise ECG alone is not appropriate with preexcitation; imaging-based ischemia testing is preferred in this item.,"Correct answer: D — Exercise myocardial perfusion imaging. Routine exercise ECG alone is not appropriate with preexcitation; imaging-based ischemia testing is preferred in this item. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Ischemia testing
