question_id,question_type,stem,option_a,option_b,option_c,option_d,option_e,option_f,correct_answer,correct_answer_text,explanation,explanation_clean,detailed_explanation,topic
501,MCQ,Most characteristic histopathological finding in myocardial tissue 3 weeks after myocardial infarction?,Coagulative necrosis with neutrophilic infiltration,Macrophage infiltration and early granulation tissue formation,Dense collagen deposition and scar tissue formation,Extensive vascular proliferation with fibroblast activity,,,C,C — Dense collagen deposition and scar tissue formation,"At 3 weeks post-MI the heart is in the mature scar-formation stage, with dense collagen replacing granulation tissue.","At 3 weeks post-MI the heart is in the mature scar-formation stage, with dense collagen replacing granulation tissue.","Correct answer: C — Dense collagen deposition and scar tissue formation. At 3 weeks post-MI the heart is in the mature scar-formation stage, with dense collagen replacing granulation tissue. In pathology questions, focus on the hallmark histology and the time course described rather than on nonspecific distractors. Exam tip: for mechanism or pathology questions, anchor your choice to the defining morphologic or molecular hallmark.",Pathology
502,MCQ,What is the earliest visible sign of atherosclerosis in the arterial wall?,Fibrous plaques,Calcification,Yellow streaks,Thrombus formation,,,C,C — Yellow streaks,Fatty streaks (yellow streaks) composed of foam cells are the earliest visible atherosclerotic lesions.,Fatty streaks (yellow streaks) composed of foam cells are the earliest visible atherosclerotic lesions.,"Correct answer: C — Yellow streaks. Fatty streaks (yellow streaks) composed of foam cells are the earliest visible atherosclerotic lesions. In atherosclerosis questions, choose the lesion or mechanism that fits the specific disease stage asked in the stem. Exam tip: for mechanism or pathology questions, anchor your choice to the defining morphologic or molecular hallmark.",Atherosclerosis
503,MCQ,"45-year-old with BP 230/140 mmHg, headache, blurred vision, confusion, and AKI. Most likely histopathologic finding?",Hyaline degeneration of the arteriolar walls,Fibrinoid necrosis with inflammation,Onion-skinning of the arteriolar walls,Lipid-laden macrophages in the intima,,,B,B — Fibrinoid necrosis with inflammation,This is malignant hypertension; the hallmark acute lesion is fibrinoid necrosis of arterioles.,This is malignant hypertension; the hallmark acute lesion is fibrinoid necrosis of arterioles.,"Correct answer: B — Fibrinoid necrosis with inflammation. This is malignant hypertension; the hallmark acute lesion is fibrinoid necrosis of arterioles. Exam tip: for mechanism or pathology questions, anchor your choice to the defining morphologic or molecular hallmark.",Hypertension
504,MCQ,Which histopathological change is most characteristic of chronic hypertension in small arterioles?,Hyaline degeneration of the arteriolar walls,Fibrinoid necrosis with inflammation,Onion-skinning of the arteriolar walls,Lipid-laden macrophages in the intima,,,A,A — Hyaline degeneration of the arteriolar walls,Chronic hypertension causes hyaline arteriolosclerosis.,Chronic hypertension causes hyaline arteriolosclerosis.,"Correct answer: A — Hyaline degeneration of the arteriolar walls. Chronic hypertension causes hyaline arteriolosclerosis. Exam tip: for mechanism or pathology questions, anchor your choice to the defining morphologic or molecular hallmark.",Hypertension
505,MCQ,A patient develops a small hematoma at the catheter sheath insertion site following coronary angiography. Management includes which step?,Immediate surgical intervention,Administration of fresh frozen plasma (FFP),Manual compression for 15 minutes and observation,Placement of a vascular closure device,,,C,C — Manual compression for 15 minutes and observation,Small stable post-catheterization hematomas are usually managed conservatively with compression and observation.,Small stable post-catheterization hematomas are usually managed conservatively with compression and observation.,"Correct answer: C — Manual compression for 15 minutes and observation. Small stable post-catheterization hematomas are usually managed conservatively with compression and observation. Exam tip: when the question asks for the next best step, choose the most appropriate immediate action for the stage described in the stem.",Cath complications
506,MCQ,65-year-old smoker with persistent clinic BP around 150/90 mmHg but appropriately measured home BP around 135/90 mmHg after prolonged lifestyle changes. What do you recommend?,"A clinic recording, which if normal suggests no need for medical management and if >140/90 mmHg requires treatment",A 24-hour ambulatory blood pressure monitor (ABPM),"Salt restriction, exercise, and continued home monitoring",Commencement of pharmacological treatment,"Home devices are not as reliable as a mercury sphygmomanometer; therefore, the clinic measurements should be believed and treatment commenced",,D,D — Commencement of pharmacological treatment,"Despite a white-coat component, repeated home readings remain in the treatment range and he has high cardiovascular risk; drug therapy is recommended.","Despite a white-coat component, repeated home readings remain in the treatment range and he has high cardiovascular risk; drug therapy is recommended.","Correct answer: D — Commencement of pharmacological treatment. Despite a white-coat component, repeated home readings remain in the treatment range and he has high cardiovascular risk; drug therapy is recommended. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Hypertension
507,MCQ,"65-year-old man with 2-week exertional chest pain, improved on low-dose bisoprolol, negative troponins, and resting ECG without ischemia. Which investigation would you recommend?",CT coronary angiogram,Invasive coronary angiogram,Exercise treadmill test,Stress echo,Nuclear perfusion scan,,B,B — Invasive coronary angiogram,"The history is highly suggestive of stable angina with high likelihood of CAD, so direct invasive angiography is recommended.","The history is highly suggestive of stable angina with high likelihood of CAD, so direct invasive angiography is recommended.","Correct answer: B — Invasive coronary angiogram. The history is highly suggestive of stable angina with high likelihood of CAD, so direct invasive angiography is recommended. Exam tip: when asked about investigation, select the test that most directly confirms the suspected diagnosis or answers the exact question being asked.",Chronic coronary syndrome
508,MCQ,Asymptomatic 32-year-old man has an ECG showing pre-excitation during a routine medical exam. What do you recommend?,This ECG shows right bundle branch block,He is asymptomatic and can be reassured without further investigation,He should have a 5-day monitor and as long as there are no significant arrhythmias or changes in the QRS complexes he can be reassured and discharged,He should have an echocardiogram and if this is normal he can be reassured and discharged,He should proceed to an EP study,,E,E — He should proceed to an EP study,Asymptomatic pre-excitation may still carry SCD risk from rapid pre-excited AF; EP study is preferred for risk stratification.,Asymptomatic pre-excitation may still carry SCD risk from rapid pre-excited AF; EP study is preferred for risk stratification.,"Correct answer: E — He should proceed to an EP study. Asymptomatic pre-excitation may still carry SCD risk from rapid pre-excited AF; EP study is preferred for risk stratification. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Electrophysiology
509,MCQ,"40-year-old woman had a single brief episode of possible angina, normal ECG, negative high-sensitivity troponin, obesity, and diet-controlled T2DM. What do you recommend?",Reassure and discharge,Inpatient invasive coronary angiogram,Outpatient stress echo,Discharge-dependent exercise treadmill test,CT coronary angiogram,,C,C — Outpatient stress echo,This is an intermediate-risk presentation after ACS has been ruled out; outpatient functional testing such as stress echo is appropriate.,This is an intermediate-risk presentation after ACS has been ruled out; outpatient functional testing such as stress echo is appropriate.,"Correct answer: C — Outpatient stress echo. This is an intermediate-risk presentation after ACS has been ruled out; outpatient functional testing such as stress echo is appropriate. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Chest pain
510,MCQ,Which characteristic is ideal for performance of a good-quality coronary CTA?,Atrial fibrillation with a low ventricular response,High body mass index,Contraindication to oral or IV beta-blockade,Ability to breath hold for 2–3 seconds maximum,Ability to hold arms straight above the head,,E,E — Ability to hold arms straight above the head,Raising the arms above the head reduces beam-hardening artifact and improves image quality.,Rais ing the arms above the head reduces beam-hardening artifact and improves image quality.,"Correct answer: E — Ability to hold arms straight above the head. Rais ing the arms above the head reduces beam-hardening artifact and improves image quality. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Cardiac CT
