question_id,question_type,stem,option_a,option_b,option_c,option_d,option_e,option_f,correct_answer,correct_answer_text,explanation,explanation_clean,detailed_explanation,topic
1,single,"A 67-year-old male is brought to hospital by ambulance following an episode of syncope at home. He had just developed severe retrosternal chest pain radiating to his left arm, profuse sweating and vomiting. He has several brief runs of non-sustained VT associated with dizziness and an impalpable radial pulse. On arrival to ED, his BP is 80/50, HR 130 regular, RR 30. He looks sweaty and dyspneic. Chest exam reveals bilateral basal crepitations extending to the mid zones. Heart sounds are normal with no murmurs. What is the significance of these ECG changes?",Left main coronary artery (LMCA) occlusion,Right coronary artery (RCA) occlusion,Left circumflex (LCX) occlusion,Diagonal occlusion,Posterior descending occlusion,,A,A — Left main coronary artery (LMCA) occlusion,Marked ST elevation in aVR greater than in V1 with diffuse ST depression suggests LMCA ischemia.,Marked ST elevation in aVR greater than in V1 with diffuse ST depression suggests LMCA ischemia.,"Correct answer: A — Left main coronary artery (LMCA) occlusion. Marked ST elevation in aVR greater than in V1 with diffuse ST depression suggests LMCA ischemia. In ACS questions, combine the ECG pattern with the hemodynamic picture and choose the option that best explains the full ischemic territory or high-risk culprit lesion. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",ACS
2,single,"A 53-year-old diabetic patient developed angina that persisted in spite of optimal medical therapy. He underwent coronary angiography which showed total obstruction of mid LAD and tight lesion in proximal RCA. You decide to do angiography and stenting. However, his serum creatinine was 0.9 before the diagnostic procedure; it became 2.3 after the coronary angiogram. What would you do to prevent further rise in creatinine after PCI?",A setting of dialysis before and after the procedure,Three setting of dialysis after the procedure,Hydration and minimize the use of dye,Acetyl cysteine 600 mg before the procedure,Sodium bicarbonate before the procedure,,C,C — Hydration and minimize the use of dye,Adequate hydration and minimizing contrast volume are the most effective measures to reduce contrast-induced nephropathy risk.,Adequate hydration and minimizing contrast volume are the most effective measures to reduce contrast-induced nephropathy risk.,"Correct answer: C — Hydration and minimize the use of dye. Adequate hydration and minimizing contrast volume are the most effective measures to reduce contrast-induced nephropathy risk. In interventional questions, prioritize the measure with the strongest proven practical benefit at the stage described in the stem. Exam tip: when the question asks for the next best step, choose the most appropriate immediate action for the stage described in the stem.",Intervention
3,single,"A 59-year-old man who was active all his life develops sudden severe anterior chest pain that radiates to his back. Within minutes, he is unconscious. He has a history of hypertension, but a recent treadmill test had revealed no evidence for cardiac disease. Which of the following is the most likely diagnosis?",Acute myocardial infarction,Acute MR,Pulmonary embolus,Right middle cerebral artery embolus,Aortic dissection,,E,E — Aortic dissection,Sudden tearing chest pain radiating to the back with rapid collapse strongly suggests aortic dissection.,Sudden tearing chest pain radiating to the back with rapid collapse strongly suggests aortic dissection.,"Correct answer: E — Aortic dissection. Sudden tearing chest pain radiating to the back with rapid collapse strongly suggests aortic dissection. Exam tip: for diagnosis questions, identify the single option that explains the entire clinical pattern rather than only one isolated clue.",Aorta
4,single,"A 65-year-old man developed atrial fibrillation 3 years ago. He was maintained on warfarin 5 mg/day and his INR was stable at 2.1. He recently developed acute chest pain associated with sweating and vomiting. His ECG showed ST elevation in V1 to V4 and his troponin was elevated. You decided to do primary angioplasty. However, you are afraid of excessive bleeding. What will you advise?",Give fresh frozen plasma until INR 1.3 or lower,Give IV vitamin K until INR 1.5 or lower,Use radial approach,Proceed with PCI with prolonged groin compression,Advise thrombolysis instead of PCI,,C,C — Use radial approach,"In anticoagulated STEMI patients, radial access lowers bleeding risk and avoids delaying urgent reperfusion.","In anticoagulated STEMI patients, radial access lowers bleeding risk and avoids delaying urgent reperfusion.","Correct answer: C — Use radial approach. In anticoagulated STEMI patients, radial access lowers bleeding risk and avoids delaying urgent reperfusion. In ACS questions, combine the ECG pattern with the hemodynamic picture and choose the option that best explains the full ischemic territory or high-risk culprit lesion. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",ACS
5,single,A 50-year-old patient presented with chest pain that started 3 days ago and increased with movement and bending. He gave history of upper respiratory infection 7 days previously. Which of the following signs would confirm the diagnosis of pericarditis?,Antibodies against echovirus or coxsackie virus,Elevated D-dimer,Depression of ST segment in precordial leads,Depression of PR segment in all leads except aVR and V1,T wave inversion in all chest leads,,D,D — Depression of PR segment in all leads except aVR and V1,Acute pericarditis classically causes widespread PR depression with reciprocal PR elevation in aVR/V1.,Acute pericarditis classically causes widespread PR depression with reciprocal PR elevation in aVR/V1.,"Correct answer: D — Depression of PR segment in all leads except aVR and V1. Acute pericarditis classically causes widespread PR depression with reciprocal PR elevation in aVR/V1. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Pericardium
6,single,A 63 years diabetic patient presented with typical angina. He was given medical therapy with little improvement. He underwent PCI and 3 stents were deployed. On discharge you advised him about the antidiabetic therapy. You set the target for antidiabetic drugs therapy as?,HbA1C below 6,Fasting blood sugar below 116,Post prandial blood sugar below 130,HbA1C within 7,Fasting blood sugar below 110,,D,D — HbA1C within 7,"In adults with cardiovascular disease, HbA1c target around 7% balances benefit and hypoglycemia risk.","In adults with cardiovascular disease, HbA1c target around 7% balances benefit and hypoglycemia risk.","Correct answer: D — HbA1C within 7. In adults with cardiovascular disease, HbA1c target around 7% balances benefit and hypoglycemia risk. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Diabetes
7,single,A 37-year-old woman with no significant past medical history except for a childhood murmur is evaluated for severe pain of sudden onset in her right lower extremity. Examination is unremarkable with normal vital signs except for a heart rate of 110 beats/min. Right leg has pallor distal to the right knee and is cold. Dorsalis pedis pulse is absent. What further investigation is needed to diagnose the underlying reason for the patient’s presentation?,Angiography of right lower extremity,Blood cultures,Echocardiogram with bubble study,Serum c-ANCA,Venous ultrasound of right upper extremity,,C,C — Echocardiogram with bubble study,The question asks for the cause of embolism; a bubble study can reveal a shunt or cardiac source.,The question asks for the cause of embolism; a bubble study can reveal a shunt or cardiac source.,"Correct answer: C — Echocardiogram with bubble study. The question asks for the cause of embolism; a bubble study can reveal a shunt or cardiac source. Exam tip: when asked about investigation, select the test that most directly confirms the suspected diagnosis or answers the exact question being asked.",Embolism
8,single,"A 62-year-old man with diabetic nephropathy was admitted to the hospital to be prepared for coronary angiography and PCI in two days’ time. He is currently on insulin, metformin, lisinopril, torsemide, aspirin, and clopidogrel. What of the mentioned drugs should be stopped before the procedure?",Lisinopril,Torsemide,Insulin,Metformin,Aspirin,,D,D — Metformin,Metformin should be held around contrast exposure because renal dysfunction can increase the risk of lactic acidosis.,Metformin should be held around contrast exposure because renal dysfunction can increase the risk of lactic acidosis.,"Correct answer: D — Metformin. Metformin should be held around contrast exposure because renal dysfunction can increase the risk of lactic acidosis. In interventional questions, prioritize the measure with the strongest proven practical benefit at the stage described in the stem. Exam tip: when asked about investigation, select the test that most directly confirms the suspected diagnosis or answers the exact question being asked.",Intervention
9,single,"A 32-year-old pregnant female known to have systemic lupus erythematosus, with a past history of intrauterine fetal death. What is the expected abnormality in her baby?",ASD,VSD,Complete heart block,TGA,Aortic coarctation,,C,C — Complete heart block,Maternal anti-Ro/SSA and anti-La/SSB antibodies can cause congenital complete heart block.,Maternal anti-Ro/SSA and anti-La/SSB antibodies can cause congenital complete heart block.,"Correct answer: C — Complete heart block. Maternal anti-Ro/SSA and anti-La/SSB antibodies can cause congenital complete heart block. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Pregnancy
10,single,"A 32-year-old heavy smoker woman presents to the emergency department because of severe chest pain radiating to both arms. The pain began 7 hours ago and is worse with inspiration. She has been unable to lie down as this markedly exacerbates the pain, but she feels better with sitting forward. Examination is notable for a heart rate of 96 beats/min, blood pressure of 145/78 mmHg, and oxygen saturation of 98%. Lungs are clear, and a friction rub with three components is audible and is best heard at the left lower sternal border. What are most likely to be found on her ECG?",Diffusely inverted T waves in the precordial leads,"PR depression in leads II, III, and aVF",Sinus tachycardia,"ST-segment elevation in I, aVL, and V2–V6 with upward concavity and reciprocal depressions in aVR",ST-segment elevation V1–V6 with convex curvature and reciprocal depressions in aVR,,D,"D — ST-segment elevation in I, aVL, and V2–V6 with upward concavity and reciprocal depressions in aVR",Acute pericarditis causes widespread concave ST elevation with PR depression and reciprocal changes in aVR.,Acute pericarditis causes widespread concave ST elevation with PR depression and reciprocal changes in aVR.,"Correct answer: D — ST-segment elevation in I, aVL, and V2–V6 with upward concavity and reciprocal depressions in aVR. Acute pericarditis causes widespread concave ST elevation with PR depression and reciprocal changes in aVR. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Pericardium
