question_id,question_type,stem,option_a,option_b,option_c,option_d,option_e,option_f,correct_answer,correct_answer_text,explanation,explanation_clean,detailed_explanation,topic
201,single,"A 19-year-old male collapses during a rugby match. Unfortunately, resuscitation faj and he dies. At post-mortem, he is found to have an asymmetrically hypertrophied sept with left ventricular hypertrophy. Which one of the following is the most likely underlyi pathology? )",Actin mutation ;,Beta-myosin heavy-chain mutation,Caveolin-3 mutation,Troponin-! mutation,Troponin-T mutation,,B,B — Beta-myosin heavy-chain mutation,"This patient likely had hypertrophic cardiomyopathy, a common cause of sudden cardiac death in young athletes. The asymmetrical septal hypertrophy is characteristic, and the most common genetic mutation associated with HCM is in the — beta-myosin heavy chain gene.","This patient likely had hypertrophic cardiomyopathy, a common cause of sudden cardiac death in young athletes. The asymmetrical septal hypertrophy is characteristic, and the most common genetic mutation associated with HCM is in the - beta-myosin heavy chain gene.","Correct answer: B — Beta-myosin heavy-chain mutation. This patient likely had hypertrophic cardiomyopathy, a common cause of sudden cardiac death in young athletes. The asymmetrical septal hypertrophy is characteristic, and the most common genetic mutation associated with HCM is in the - beta-myosin heavy chain gene. For cardiomyopathy questions, use the phenotype, age, family history, and structural pattern to identify the most likely underlying diagnosis or mutation. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Heart Failure/Cardiomyopathy
202,single,"A 45-year-old man attends for review. He has been suffering increasing shortness of breath over the past few years. He is a non-smoker who drinks 20 units per week of ag alcohol and has no significant past cardiovascular history. Now he presents with what seems to have been a transient ischemic attack (TIA), with weakness and co-ordinatio problems affecting his left side, which have been resolved over the past 24 hours. On 7 examination blood pressure is 142/95 mmHg and he isin sinus rhythm. Thereisno opening snap, but there is a diastolic murmur, which changes in character according t posture. C-reactive protein (CRP) is just above the normal range. Which one of the ~ following diagnoses fits best with this clinical picture? y","Aortic stenosis """,Left atrial myxoma Ja,Mitral regurgitation mn,Mitral stenosis i.,Right atrial myxoma,,B,B — Left atrial myxoma Ja,"The patient's symptoms (progressive dyspnea, history of TIA, and a dia: t 2 murmur that varies with posture) strongly suggest a LA myxoma. These tumors can : embolic events and obstruct blood flow, producing a murmur that changes with ) it due to tumor mobility.","The patient's symptoms (progressive dyspnea, history of TIA, and a diastolic murmur that varies with posture) strongly suggest a LA myxoma. These tumors can: embolic events and obstruct blood flow, producing a murmur that changes with) it due to tumor mobility.","Correct answer: B — Left atrial myxoma Ja. The patient's symptoms (progressive dyspnea, history of TIA, and a diastolic murmur that varies with posture) strongly suggest a LA myxoma. These tumors can: embolic events and obstruct blood flow, producing a murmur that changes with) it due to tumor mobility. When the stem spans symptoms, auscultation, and embolic phenomena, choose the option that best integrates all of them rather than a partial fit. Exam tip: for diagnosis questions, identify the single option that explains the entire clinical pattern rather than only one isolated clue.",Miscellaneous
203,single,"A previously fit 25-year-old man with a history of heavy smoking comes to the Emergency Department complaining of breathlessness and pleuritic chest pain occurring suddenly in the middle of a pub team football match. On examination, a systolic click is heard over the precordium and there are decreased breath sounds on the left. What is the possible diagnosis?",Pulmonary embolism,Mitral valve prolapse,Unstable angina,Myocardial infarction,Pneumothorax,,E,E — Pneumothorax,"The sudden onset of pleuritic pain, dyspnea, decreased breath sounds on the left, and smoking history strongly suggest spontaneous pneumothorax. The systolic click is likely an auscultatory artifact or mediastinal crunch caused by the pneumothorax.","The sudden onset of pleuritic pain, dyspnea, decreased breath sounds on the left, and smoking history strongly suggest spontaneous pneumothorax. The systolic click is likely an auscultatory artifact or mediastinal crunch caused by the pneumothorax.","Correct answer: E — Pneumothorax. The sudden onset of pleuritic pain, dyspnea, decreased breath sounds on the left, and smoking history strongly suggest spontaneous pneumothorax. The systolic click is likely an auscultatory artifact or mediastinal crunch caused by the pneumothorax. When the stem spans symptoms, auscultation, and embolic phenomena, choose the option that best integrates all of them rather than a partial fit. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Miscellaneous
204,single,"A 30-year-old man presents complaining of periodic attacks of wheezing, flushing, and loose motions. He has no significant history. On examination, he has prominent precordial pulsations. Urinalysis shows increased urinary excretion of 5-hydroxyindoleacetic acid. Whatis the most likely diagnosis?",Carcinoid heart disease,Congenital tricuspid regurgitation,HIV-associated heart disease,Rheumatic heart disease,Traumatic heart disease,,A,A — Carcinoid heart disease,"The periodic symptoms of flushing, wheezing, diarrhea, and elevated 5-HIAA indicate carcinoid syndrome, which can lead to carcinoid heart disease. The heart involvement typically affects the right-sided valves.","The periodic symptoms of flushing, wheezing, diarrhea, and elevated 5-HIAA indicate carcinoid syndrome, which can lead to carcinoid heart disease. The heart involvement typically affects the right-sided valves.","Correct answer: A — Carcinoid heart disease. The periodic symptoms of flushing, wheezing, diarrhea, and elevated 5-HIAA indicate carcinoid syndrome, which can lead to carcinoid heart disease. The heart involvement typically affects the right-sided valves. In valvular questions, timing of symptoms, prosthesis type, and echocardiographic morphology are major clues to the underlying valve complication. Exam tip: for diagnosis questions, identify the single option that explains the entire clinical pattern rather than only one isolated clue.",Valvular
205,single,A 32-year-old man is brought to the Emergency Department in a collapsed state having sustained a precordial stab wound. Which of the following cardiac valves is most likely to have been injured?,Aortic valve,Tricuspid valve,Pulmonary valve,Mitral valve,Thebesian valve,,B,B — Tricuspid valve,"The heart is located in the mediastinum with a slight left tilt. The right ventricle is the most anterior chamber, positioned directly behind the sternum, making it highly susceptible to penetrating chest injuries. Consequently, stab wounds to the precordial (front) area are likely to penetrate the right ventricle and damage the tricuspid valve.","The heart is located in the mediastinum with a slight left tilt. The right ventricle is the most anterior chamber, positioned directly behind the sternum, making it highly susceptible to penetrating chest injuries. Consequently, stab wounds to the precordial (front) area are likely to penetrate the right ventricle and damage the tricuspid valve.","Correct answer: B — Tricuspid valve. The heart is located in the mediastinum with a slight left tilt. The right ventricle is the most anterior chamber, positioned directly behind the sternum, making it highly susceptible to penetrating chest injuries. Consequently, stab wounds to the precordial (front) area are likely to penetrate the right ventricle and damage the tricuspid valve. In valvular questions, timing of symptoms, prosthesis type, and echocardiographic morphology are major clues to the underlying valve complication. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Valvular
206,single,"A 70-year-old man under regular follow-up for aortic stenosis presents with increasing shortness of breath and syncope. His recent echocardiogram showed a moderately stenotic aortic valve unchanged from earlier studies. He looks pale; BP 144/92 mmHg, HR 90 bpm. Laboratory results show severe microcytic anemia (Hb 64 g/L, MCV 72 fL). Which clotting factor is affected by the underlying condition?",Activated factor VII,Activated factor X,Fibrin,Platelet activation factor,Von Willebrand factor,,E,E — Von Willebrand factor,"In aortic stenosis with severe microcytic anemia, Heyde syndrome should be considered. High shear forces across the stenotic valve degrade von Willebrand factor, causing acquired type 2A von Willebrand disease and predisposing to GI bleeding and iron deficiency anemia.","In aortic stenosis with severe microcytic anemia, Heyde syndrome should be considered. High shear forces across the stenotic valve degrade von Willebrand factor, causing acquired type 2A von Willebrand disease and predisposing to GI bleeding and iron deficiency anemia.","Correct answer: E — Von Willebrand factor. In aortic stenosis with severe microcytic anemia, Heyde syndrome should be considered. High shear forces across the stenotic valve degrade von Willebrand factor, causing acquired type 2A von Willebrand disease and predisposing to GI bleeding and iron deficiency anemia. In valvular questions, timing of symptoms, prosthesis type, and echocardiographic morphology are major clues to the underlying valve complication. Exam tip: for diagnosis questions, identify the single option that explains the entire clinical pattern rather than only one isolated clue.",Valvular
207,single,"A 38-year-old woman is seen in the Emergency Department after collapsing. She recalls rushing for the bus before feeling faint. Her brother recently died suddenly owing to a heart problem. On examination, she has a jerky pulse, a double apex beat, and a mid-systolic murmur. Which one of the following is the likely diagnosis?",Dilated cardiomyopathy,Hypertrophic obstructive cardiomyopathy,Mitral valve prolapse,Aortic stenosis,Pericarditis,,B,B — Hypertrophic obstructive cardiomyopathy,"Collapse during exertion, family history of sudden cardiac death, a jerky pulse, double apex beat, and a midsystolic murmur are classic for hypertrophic obstructive cardiomyopathy.","Collapse during exertion, family history of sudden cardiac death, a jerky pulse, double apex beat, and a midsystolic murmur are classic for hypertrophic obstructive cardiomyopathy.","Correct answer: B — Hypertrophic obstructive cardiomyopathy. Collapse during exertion, family history of sudden cardiac death, a jerky pulse, double apex beat, and a midsystolic murmur are classic for hypertrophic obstructive cardiomyopathy. For cardiomyopathy questions, use the phenotype, age, family history, and structural pattern to identify the most likely underlying diagnosis or mutation. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Heart Failure/Cardiomyopathy
208,single,A 62-year-old man with previous myocardial infarctions has left bundle branch block on ECG and sinus rhythm at 85/min. Which of the following is the most likely finding on auscultation?,Ejection systolic murmur,Fixed split second heart sound,Pan-systolic murmur,Quiet second heart sound,Reverse split second heart sound,,E,E — Reverse split second heart sound,"In LBBB, delayed activation of the left ventricle causes delayed aortic valve closure, producing paradoxical (reverse) splitting of the second heart sound.","In LBBB, delayed activation of the left ventricle causes delayed aortic valve closure, producing paradoxical (reverse) splitting of the second heart sound.","Correct answer: E — Reverse split second heart sound. In LBBB, delayed activation of the left ventricle causes delayed aortic valve closure, producing paradoxical (reverse) splitting of the second heart sound. In valvular questions, timing of symptoms, prosthesis type, and echocardiographic morphology are major clues to the underlying valve complication. Exam tip: for mechanism or pathology questions, anchor your choice to the defining morphologic or molecular hallmark.",Valvular
209,single,"A 29-year-old woman who is 23 weeks pregnant complains of self-terminating episodes of rapid palpitations lasting 20–30 minutes, occurring 2–3 times per week. She has a past history of SVT diagnosed 10 years earlier. BP is 110/62 mmHg, pulse 65 bpm, and a 12-lead ECG is normal. What further steps will you take?",72-hour Holter monitor,Electrophysiological testing,Thyroid function testing,Reassurance,Start metoprolol,,D,D — Reassurance,"In a pregnant woman with infrequent, short-lived, self-terminating SVT and a normal current ECG, reassurance is appropriate unless symptoms worsen.","In a pregnant woman with infrequent, short-lived, self-terminating SVT and a normal current ECG, reassurance is appropriate unless symptoms worsen.","Correct answer: D — Reassurance. In a pregnant woman with infrequent, short-lived, self-terminating SVT and a normal current ECG, reassurance is appropriate unless symptoms worsen. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Arrhythmia
210,single,"A 46-year-old man with Wolff-Parkinson-White syndrome presents with palpitations. He is alert, heart rate 187 bpm, BP 130/80 mmHg. ECG shows a broad-complex irregular tachycardia at 180 bpm. What is the most appropriate next management step?",Adenosine,Amiodarone,Bisoprolol,Procainamide,Verapamil,,D,D — Procainamide,"In WPW presenting with a broad-complex irregular tachycardia, procainamide is preferred. AV nodal blockers such as adenosine, beta-blockers, calcium-channel blockers, and digoxin should be avoided.","In WPW presenting with a broad-complex irregular tachycardia, procainamide is preferred. AV nodal blockers such as adenosine, beta-blockers, calcium-channel blockers, and digoxin should be avoided.","Correct answer: D — Procainamide. In WPW presenting with a broad-complex irregular tachycardia, procainamide is preferred. AV nodal blockers such as adenosine, beta-blockers, calcium-channel blockers, and digoxin should be avoided. Exam tip: when the question asks for the next best step, choose the most appropriate immediate action for the stage described in the stem.",Arrhythmia
